x01,prediction
100201_a08a01,47
100222_a08a01,29
101201_a08a01,56
102102_a08a01,25
102811_a08a01,47
103611_a08a01,26
103621_a08a01,86
202011_a08a01,62
202212_a08a01,64
210701_a08a01,85
213701_a08a01,47
213702_a08a01,47
214201_a08a01,27
215701_a08a01,85
300502_a08a01,34
300521_a08a01,85
310701_a08a01,45
315101_a08a01,47
315102_a08a01,47
411602_a08a01,65
412701_a08a01,26
1102601_a08a01,56
1104612_a08a01,83
1202211_a08a01,83
1203122_a08a01,86
1203522_a08a01,26
2202501_a08a01,1
10101811_a08a01,95
10111301_a08a01,83
10111302_a08a01,94
10112201_a08a01,31
10112202_a08a01,27
10112311_a08a01,58
10200202_a08a01,25
10201121_a08a01,45
10205721_a08a01,83
10212502_a08a01,45
10301312_a08a01,26
10301321_a08a01,25
10303002_a08a01,28
10312901_a08a01,65
10320101_a08a01,998
10320501_a08a01,27
10321901_a08a01,30
10322701_a08a01,56
10322802_a08a01,47
10325402_a08a01,56
10330201_a08a01,65
10330202_a08a01,49
10332001_a08a01,55
10334901_a08a01,47
10400301_a08a01,25
10400311_a08a01,25
10400802_a08a01,47
10400821_a08a01,26
10412601_a08a01,43
10415102_a08a01,45
10421101_a08a01,56
10424001_a08a01,26
10424002_a08a01,25
10426302_a08a01,96
10430201_a08a01,49
10434701_a08a01,62
10500221_a08a01,45
10501411_a08a01,26
10502311_a08a01,26
10503301_a08a01,27
10504201_a08a01,96
10504212_a08a01,86
10504912_a08a01,18
10600511_a08a01,29
10610902_a08a01,27
10611601_a08a01,25
10611602_a08a01,25
10612901_a08a01,41
10700911_a08a01,47
10712802_a08a01,25
10714901_a08a01,43
11100711_a08a01,45
11102301_a08a01,81
11120501_a08a01,62
11123701_a08a01,16
11130701_a08a01,26
11201401_a08a01,41
11201611_a08a01,29
11201722_a08a01,48
11222801_a08a01,47
11230702_a08a01,26
11232402_a08a01,27
11300402_a08a01,56
11300721_a08a01,45
11300732_a08a01,1
11401201_a08a01,81
11401711_a08a01,47
11402601_a08a01,25
11404302_a08a01,27
11500112_a08a01,78
11501111_a08a01,26
11502111_a08a01,26
11620701_a08a01,56
11621502_a08a01,65
11623301_a08a01,94
11623701_a08a01,26
11624001_a08a01,95
11630101_a08a01,47
11634701_a08a01,85
11635301_a08a01,47
11704632_a08a01,46
12101401_a08a01,1
12202601_a08a01,1
20020301_a08a01,47
20021802_a08a01,47
20022901_a08a01,47
20030601_a08a01,85
20033201_a08a01,94
20104001_a08a01,31
20110301_a08a01,69
20112911_a08a01,1
20113201_a08a01,26
20113801_a08a01,47
20115001_a08a01,1
20115002_a08a01,1
21101601_a08a01,1
21102222_a08a01,26
21102702_a08a01,1
21104011_a08a01,86
21104031_a08a01,29
22024101_a08a01,46
22025901_a08a01,85
22025902_a08a01,85
22030101_a08a01,29
22030301_a08a01,56
22031101_a08a01,29
22032602_a08a01,85
22034102_a08a01,86
22102611_a08a01,56
22102711_a08a01,49
22721601_a08a01,47
22721801_a08a01,30
22721802_a08a01,47
22732302_a08a01,27
22733202_a08a01,85
23423502_a08a01,43
23433701_a08a01,27
23435001_a08a01,85
23524701_a08a01,85
23533801_a08a01,48
23535301_a08a01,83
23820801_a08a01,34
23821701_a08a01,28
23822701_a08a01,8
23825501_a08a01,22
23832301_a08a01,25
23835601_a08a01,47
24223301_a08a01,34
24224201_a08a01,85
24224202_a08a01,85
24226602_a08a01,45
24231201_a08a01,33
24231402_a08a01,48
24231502_a08a01,27
24232902_a08a01,74
24234601_a08a01,47
24234602_a08a01,26
30022302_a08a01,86
30024101_a08a01,26
30024102_a08a01,78
30024701_a08a01,96
30103902_a08a01,85
30110802_a08a01,26
30111801_a08a01,85
30112302_a08a01,45
30112701_a08a01,8
30113801_a08a01,64
30113901_a08a01,85
30120401_a08a01,25
30124402_a08a01,85
30124701_a08a01,83
30126201_a08a01,85
30131201_a08a01,31
30131502_a08a01,27
30134101_a08a01,64
30135301_a08a01,26
30200101_a08a01,43
30201701_a08a01,21
30201721_a08a01,25
30201811_a08a01,45
30201821_a08a01,46
30203111_a08a01,29
30203122_a08a01,83
30210902_a08a01,49
30211301_a08a01,23
30214001_a08a01,62
30230201_a08a01,26
30232301_a08a01,47
30234401_a08a01,43
30300411_a08a01,27
30303101_a08a01,47
30311202_a08a01,18
30314801_a08a01,47
30401501_a08a01,69
30402212_a08a01,86
30402611_a08a01,56
30402622_a08a01,65
30412501_a08a01,27
30414302_a08a01,58
30414501_a08a01,85
30414502_a08a01,26
30500301_a08a01,43
30500321_a08a01,47
30500602_a08a01,26
30502301_a08a01,43
30502401_a08a01,47
30503301_a08a01,81
30513801_a08a01,69
30600302_a08a01,86
30600322_a08a01,25
30600601_a08a01,28
30601222_a08a01,47
30601912_a08a01,62
30603501_a08a01,56
30612501_a08a01,27
30701821_a08a01,43
30712402_a08a01,73
30713102_a08a01,85
31101402_a08a01,48
31104421_a08a01,41
31104601_a08a01,25
31105011_a08a01,43
31200801_a08a01,71
31200811_a08a01,26
31200911_a08a01,85
31203731_a08a01,83
31301111_a08a01,28
31302121_a08a01,96
31405912_a08a01,26
31500121_a08a01,41
31601401_a08a01,47
31601431_a08a01,65
32021601_a08a01,31
32021802_a08a01,47
32022602_a08a01,31
32022801_a08a01,26
32022802_a08a01,27
32022902_a08a01,26
32030301_a08a01,64
32031202_a08a01,52
32032301_a08a01,25
32032602_a08a01,49
32032701_a08a01,27
32500212_a08a01,80
32620402_a08a01,26
32621401_a08a01,86
32621402_a08a01,86
32621801_a08a01,35
32623402_a08a01,996
32630102_a08a01,26
32631001_a08a01,29
32631802_a08a01,34
32633201_a08a01,15
32633401_a08a01,83
32633501_a08a01,47
32634102_a08a01,33
33721301_a08a01,30
33721401_a08a01,83
33721502_a08a01,85
33722601_a08a01,56
33723201_a08a01,56
33723601_a08a01,26
33724001_a08a01,22
33731101_a08a01,45
33731102_a08a01,66
33732001_a08a01,28
33732002_a08a01,25
33733102_a08a01,83
33733702_a08a01,47
33734201_a08a01,86
40100132_a08a01,56
40101302_a08a01,49
40102301_a08a01,83
40104811_a08a01,85
40105902_a08a01,80
40111802_a08a01,64
40112102_a08a01,25
40112301_a08a01,49
40203121_a08a01,47
40210102_a08a01,43
40300201_a08a01,47
40300502_a08a01,1
40300521_a08a01,43
40300522_a08a01,996
40301502_a08a01,45
40302011_a08a01,47
40302501_a08a01,1
40302502_a08a01,1
40303111_a08a01,26
40310901_a08a01,83
40401002_a08a01,22
40401811_a08a01,30
40401912_a08a01,47
40401921_a08a01,85
40402602_a08a01,26
40404012_a08a01,29
40405501_a08a01,43
40413702_a08a01,56
40415101_a08a01,43
40820301_a08a01,27
40821302_a08a01,8
40823002_a08a01,56
40824401_a08a01,61
40824402_a08a01,43
40831101_a08a01,64
40831102_a08a01,29
41100611_a08a01,47
41100931_a08a01,47
41101122_a08a01,85
41101931_a08a01,8
41103001_a08a01,56
41103022_a08a01,26
41103121_a08a01,47
41103211_a08a01,43
41104012_a08a01,1
41200221_a08a01,83
41201711_a08a01,52
41201732_a08a01,31
41302011_a08a01,47
41400212_a08a01,27
41400221_a08a01,95
41400222_a08a01,95
41400421_a08a01,56
41401012_a08a01,25
41420901_a08a01,48
41421001_a08a01,85
41421101_a08a01,26
41421901_a08a01,83
41422802_a08a01,56
41423201_a08a01,25
41424202_a08a01,45
41430202_a08a01,25
41433501_a08a01,25
42022502_a08a01,47
42030202_a08a01,87
42030301_a08a01,22
42030701_a08a01,45
42032902_a08a01,96
42034001_a08a01,85
42034402_a08a01,85
42034701_a08a01,41
42401101_a08a01,1
42403002_a08a01,56
42720201_a08a01,78
42723402_a08a01,68
42730301_a08a01,64
43722802_a08a01,64
43723101_a08a01,86
43730402_a08a01,29
43731001_a08a01,1
43732101_a08a01,22
43732602_a08a01,47
43732801_a08a01,85
43733401_a08a01,8
50100911_a08a01,96
50100922_a08a01,43
50100931_a08a01,96
50101111_a08a01,26
50102201_a08a01,85
50102421_a08a01,46
50102712_a08a01,61
50102731_a08a01,64
50102811_a08a01,83
50110401_a08a01,34
50112201_a08a01,85
50112901_a08a01,47
50115001_a08a01,85
50200112_a08a01,47
50201512_a08a01,41
50202012_a08a01,27
50202211_a08a01,83
50202601_a08a01,41
50203902_a08a01,81
50204112_a08a01,8
50204322_a08a01,47
50205812_a08a01,43
50205911_a08a01,41
50211702_a08a01,43
50212402_a08a01,56
50216001_a08a01,47
51100231_a08a01,45
51100701_a08a01,47
51102501_a08a01,34
51104102_a08a01,85
51203012_a08a01,85
51205901_a08a01,83
51205902_a08a01,55
51320202_a08a01,27
51330501_a08a01,25
51333001_a08a01,95
51333902_a08a01,86
51420701_a08a01,22
51420802_a08a01,64
51421602_a08a01,45
51422502_a08a01,26
51423302_a08a01,95
51423502_a08a01,56
51430101_a08a01,43
51430901_a08a01,86
51433201_a08a01,47
51433701_a08a01,49
55722901_a08a01,8
55723902_a08a01,41
55725402_a08a01,48
55730301_a08a01,24
55731402_a08a01,26
55733101_a08a01,86
55734101_a08a01,28
60100201_a08a01,43
60101721_a08a01,83
60101731_a08a01,86
60101741_a08a01,45
60103011_a08a01,83
60103231_a08a01,96
60104002_a08a01,25
60104611_a08a01,96
60111301_a08a01,49
60112001_a08a01,1
60112201_a08a01,31
60114902_a08a01,1
60115401_a08a01,30
60200511_a08a01,26
60200522_a08a01,26
60200531_a08a01,83
60201421_a08a01,85
60201822_a08a01,25
60202411_a08a01,47
60203112_a08a01,83
60203131_a08a01,47
60213301_a08a01,1
60214901_a08a01,28
60215602_a08a01,43
60300122_a08a01,47
60300132_a08a01,26
60300401_a08a01,1
60301211_a08a01,86
60301221_a08a01,26
60301602_a08a01,1
60302211_a08a01,43
60304321_a08a01,49
60313101_a08a01,49
60400122_a08a01,41
60400341_a08a01,26
60400402_a08a01,43
