Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,trans_desc,TSVD_0,TSVD_1,TSVD_2,TSVD_3,TSVD_4,TSVD_5,TSVD_6,TSVD_7,TSVD_8,TSVD_9,desc_len
2,Dopey & Grey,8,266,266,1,2,6,7,1,1,1,1,2,1,2,0,41326,2ece3b2573dcdcebd774e635dca15fd9,0,"Dopey Age: 8mths old Male One half of a pair, Dopey is the reserved one compared to his brother Grey. However, he loves to be petted and is active by nature. Loves to chase balls and plays with anything that is mobile. Favourite hobby: Watching TV near the TV screen. Grey Age: 8mths old Male The wonder twin - Grey and Dopey are very brotherly and protects each other. Grey is more dominant than Dopey as he is the elder one and he is very playful. Favourite hobby: Loves to sit by the door and look outside",e2dfc2935,2.0,"Dopey Age: 8mths old Male One half of a pair, Dopey is the reserved one compared to his brother Grey. However, he loves to be petted and is active by nature. Loves to chase balls and plays with anything that is mobile. Favourite hobby: Watching TV near the TV screen. Grey Age: 8mths old Male The wonder twin - Grey and Dopey are very brotherly and protects each other. Grey is more dominant than Dopey as he is the elder one and he is very playful. Favourite hobby: Loves to sit by the door and look outside",0.2180946084054897,-0.04079015777128793,0.10206468296938596,-0.07337343377572593,0.18961242909271234,-0.07157603719375911,-0.02303603802598876,-0.023980820896434097,-0.19631753885813052,-0.033491166407468936,97
2,Chi Chi,36,285,264,2,1,4,7,2,3,1,1,1,2,1,0,41326,2ece3b2573dcdcebd774e635dca15fd9,0,"Please note that Chichi has been neutered, therefore cannot breed. ChiChi is a Persian with a difference : She is a silent cat. She loves to be petted but needs regular grooming and cleaning. She has a defective tearduct on the right eye that requires daily cleaning. She has been neutered and goes through vaccinated routine regularly. Favourite hobby: Loves to roam and enjoys outside scenery. Please email if interested, comments are harder to keep track of.",f153b465f,1.0,"Please note that Chichi has been neutered, therefore cannot breed. ChiChi is a Persian with a difference : She is a silent cat. She loves to be petted but needs regular grooming and cleaning. She has a defective tearduct on the right eye that requires daily cleaning. She has been neutered and goes through vaccinated routine regularly. Favourite hobby: Loves to roam and enjoys outside scenery. Please email if interested, comments are harder to keep track of.",0.19217331760050776,-0.03660837332727415,0.09873605479139438,-0.023478359196909156,-0.046172716367037826,0.0841599048145451,-0.106820240246244,-0.04605934464800827,-0.13061757101692958,-0.03474008248513473,77
2,Sticky,2,265,0,1,6,7,0,2,2,1,1,2,1,1,200,41326,e59c106e9912fa30c898976278c2e834,0,"Sticky, named such because of his tendency to stick to you for cuddles, was found with his two siblings on our campus. These cuties are looking for a nice home. The adoption fee is a deposit that we will hold onto until the kitty has been neutered. Alternatively, you could let us use the deposit to contact you and help you carry out the sterilization at the vet when it is time.. We are looking for cat loving and friendly adopters. If you're interested in this ball of fluff, please contact  +. Thank you. :)",3c90f3f54,4.0,"Sticky, named such because of his tendency to stick to you for cuddles, was found with his two siblings on our campus. These cuties are looking for a nice home. The adoption fee is a deposit that we will hold onto until the kitty has been neutered. Alternatively, you could let us use the deposit to contact you and help you carry out the sterilization at the vet when it is time.. We are looking for cat loving and friendly adopters. If you're interested in this ball of fluff, please contact  +. Thank you. :)",0.42113319640197605,0.07593578121799792,-0.010188477050805963,0.18510574090098872,-0.18900384849145502,0.0030073881200740203,-0.15259143961563434,-0.07919875105310904,-0.10741134759138707,-0.0014222835293550005,96
1,Dannie & Kass [In Penang],12,307,0,2,2,5,0,2,2,1,1,1,1,2,0,41326,e59c106e9912fa30c898976278c2e834,0,"Dannie and Kass are mother and daughter. We encountered them a year ago at our campus where.. They made quite a lot of friends with the students. They are both extremely friendly Kass is the mother and is a very calm dog, whereas Dannie is a ball of energy.We know Dannie is about a year or so old. And Kass is 3-4 years old. After being on campus it was decided that these dogs were way too kind and nice to be strays. They will be very sweet pets for any lucky person who decides to adopt one or both of them.. They were placed in good care to be vaccinated, dewormed and sterilized, as well as be made % healthy so that they can be adopted into a good home. Now that time has come, to the dismay of those that have taken so good care of them. They will be missed. If you adopt these dogs, then prepare to keep us updated on their well-being for at least a little while so we know they are being looked after. Looking forward to hearing from any interested in adopting these beauties. You may contact me (Paul) for information. But the adoption is handled by Dulani and Vinuri if you are interested to adopt.",e02abc8a3,5.0,"Dannie and Kass are mother and daughter. We encountered them a year ago at our campus where.. They made quite a lot of friends with the students. They are both extremely friendly Kass is the mother and is a very calm dog, whereas Dannie is a ball of energy.We know Dannie is about a year or so old. And Kass is 3-4 years old. After being on campus it was decided that these dogs were way too kind and nice to be strays. They will be very sweet pets for any lucky person who decides to adopt one or both of them.. They were placed in good care to be vaccinated, dewormed and sterilized, as well as be made % healthy so that they can be adopted into a good home. Now that time has come, to the dismay of those that have taken so good care of them. They will be missed. If you adopt these dogs, then prepare to keep us updated on their well-being for at least a little while so we know they are being looked after. Looking forward to hearing from any interested in adopting these beauties. You may contact me (Paul) for information. But the adoption is handled by Dulani and Vinuri if you are interested to adopt.",0.4763343826758363,-0.0047274696732811095,-0.14187257209401766,-0.007460036130569495,-0.02388314484570989,0.12179691676423023,0.058203279839298024,0.03192109493827451,-0.09652468310504105,0.0599873609522201,214
2,Cuddles,12,265,0,1,2,3,7,2,2,1,1,1,1,1,0,41326,e59c106e9912fa30c898976278c2e834,0,"Extremely cuddly cat, hence the origin of his name. We found him very sick outside in Kajang and brought him to the vet.. Now that he is healthy, we want him to have a good home with a loving family. If you are interested in cuddles, please contact me.",09f0df7d1,5.0,"Extremely cuddly cat, hence the origin of his name. We found him very sick outside in Kajang and brought him to the vet.. Now that he is healthy, we want him to have a good home with a loving family. If you are interested in cuddles, please contact me.",0.39033406634251333,-0.10078435776385385,0.008871201051457528,0.08259136611615098,-0.17282957871339902,0.03439673630763823,-0.09604972241342428,-0.06523892875576666,-0.03966345063971185,-0.03686512708771481,49
2,Porridge,4,265,0,1,6,7,0,2,2,1,1,2,1,1,0,41326,e59c106e9912fa30c898976278c2e834,0,"Porridge the cat is looking for a place to call home. He has a vast amount of affection that needs venting and returned.. If you want a cat to love while having the love returned, this is the cat you want. We will ask for a deposit to ensure you will complete certain procedures for Porridge.The money will be returned once completed.. If you're interested in adopting Porridge then please contact me on my number found on the profile to find out more information, or go directly to the one in charge of the adoption Dulani.",0487529d4,3.0,"Porridge the cat is looking for a place to call home. He has a vast amount of affection that needs venting and returned.. If you want a cat to love while having the love returned, this is the cat you want. We will ask for a deposit to ensure you will complete certain procedures for Porridge.The money will be returned once completed.. If you're interested in adopting Porridge then please contact me on my number found on the profile to find out more information, or go directly to the one in charge of the adoption Dulani.",0.3584627004858079,0.043357031501780705,0.20553425352898572,0.09134090901910774,-0.3148538685123817,0.1793441094170787,-0.18327877285929486,-0.14919737418643192,0.04669289636784327,0.018768791038257102,96
2,Sultan [In Shah Alam],24,265,0,1,6,7,0,2,2,1,1,1,1,1,0,41326,e59c106e9912fa30c898976278c2e834,0,"We first met Sultan on our campus hiding from everyone looking for scraps of food wherever he could find it. He was very shy., a.nd angry if you tried to approach.. However, he warmed up to people within just a couple of days of feeding him and giving him some long overdue affection.. He is now completely tame and loving.Sultan is a gorgeous and loving cat that has recently been rescued. He was taken to the veterinarian where he was diagnosed with FeLV ( Feline Leukemia Virus). A viral disease that makes him more susceptible to infections. Due to this, this man needs to be on a tight leash as infected sores and wounds could take longer to heal. It is not lethal by itself and cats with this condition are able to live healthy lives with. some extra care (mostly keeping him away from other cats who could potentially give him an infection). Sultan is a strong cat and is in a state of fast recovery. He is quite social that welcomes petting sessions. He has a big appetite and enjoys playing with headphone wires. If he becomes ill, because of his condition he will need antibiotics as he cannot fight infections well himself. If you are interested in adopting Sultan, contact Fatma at + , by whatsapp, call or message.",bae7c4b1c,2.0,"We first met Sultan on our campus hiding from everyone looking for scraps of food wherever he could find it. He was very shy., a.nd angry if you tried to approach.. However, he warmed up to people within just a couple of days of feeding him and giving him some long overdue affection.. He is now completely tame and loving.Sultan is a gorgeous and loving cat that has recently been rescued. He was taken to the veterinarian where he was diagnosed with FeLV ( Feline Leukemia Virus). A viral disease that makes him more susceptible to infections. Due to this, this man needs to be on a tight leash as infected sores and wounds could take longer to heal. It is not lethal by itself and cats with this condition are able to live healthy lives with. some extra care (mostly keeping him away from other cats who could potentially give him an infection). Sultan is a strong cat and is in a state of fast recovery. He is quite social that welcomes petting sessions. He has a big appetite and enjoys playing with headphone wires. If he becomes ill, because of his condition he will need antibiotics as he cannot fight infections well himself. If you are interested in adopting Sultan, contact Fatma at + , by whatsapp, call or message.",0.4160337135956473,-0.12142550765761752,0.20097948798935925,0.022814964696055245,-0.18592094484921168,0.08006947780758562,-0.024787387789850228,-0.06105885156711139,-0.05626229684987504,-0.03299197533728816,222
2,The Four Musketeers (one),1,265,0,1,1,6,7,2,2,2,2,2,1,4,0,41326,e59c106e9912fa30c898976278c2e834,0,"These 4 darlings were found on our university campus, Selangor, Semenyih. The mother is a well-known cat that everyone looks after and she gave birth to 4 adorable and friendly balls of fluff. We want them to have good homes, and we prefer them to be sent out in pairs of 2 as they are very playful together. They are all male and very used to cuddles..... . If you choose to adopt, you are expected to have them vaccinated and sterilized when they are old enough. We do want updates every now and then to make sure they are being well cared for and that they're happy in their new home. At the moment they are being cared for by our animal welfare society and are being kept with their freelancing mother. But they need a home soon. You may contact  + or  + if you are interested to adopt. You may also contact  + or  + if you just want some more information. We look forward to hear from you. EDIT: 2 of them got adopted as a pair, there are 2 left. These 2 also would prefer to stay together. EDIT 3: PLEASE NOTE WE WILL BE ASKING FOR A DEPOSIT OF RM SO THAT WE CAN ENSURE THE CAT WILL BE VACCINATED AND NEUTERED WHEN IT IS DUE.",548bcf206,3.0,"These 4 darlings were found on our university campus, Selangor, Semenyih. The mother is a well-known cat that everyone looks after and she gave birth to 4 adorable and friendly balls of fluff. We want them to have good homes, and we prefer them to be sent out in pairs of 2 as they are very playful together. They are all male and very used to cuddles..... . If you choose to adopt, you are expected to have them vaccinated and sterilized when they are old enough. We do want updates every now and then to make sure they are being well cared for and that they're happy in their new home. At the moment they are being cared for by our animal welfare society and are being kept with their freelancing mother. But they need a home soon. You may contact  + or  + if you are interested to adopt. You may also contact  + or  + if you just want some more information. We look forward to hear from you. EDIT: 2 of them got adopted as a pair, there are 2 left. These 2 also would prefer to stay together. EDIT 3: PLEASE NOTE WE WILL BE ASKING FOR A DEPOSIT OF RM SO THAT WE CAN ENSURE THE CAT WILL BE VACCINATED AND NEUTERED WHEN IT IS DUE.",0.42517968677466694,-0.09047540815758012,0.07802350077836914,0.08229497404146582,-0.056992179277668364,0.18732702038661897,0.04290030410099755,-0.08524639853209126,-0.012019254333859381,0.024026065194966122,226
2,Timmy And Boboy,7,247,266,3,2,4,5,2,2,1,1,1,1,2,0,41326,df3f86a2d783512e0d863a47c55a86b7,0,"Saya ada 2 ekor kitten untuk diberi secara PERCUMA. Semua kitten dah vaksin & deworm. Umur = 7 Bulan Jantan = 2 Ekor (Dah dimandulkan) Lokasi = Puchong Perdana Prefer untuk let go kedua2 sekali coz kitten2 nie tak pernah berpisah. Sesiapa yang berminat, boleh hubungi saya di talian 3 .",0f82cea1e,2.0,"Saya ada 2 ekor kitten untuk diberi secara PERCUMA. Semua kitten dah vaksin & deworm. Umur = 7 Bulan Jantan = 2 Ekor (Dah dimandulkan) Lokasi = Puchong Perdana Prefer untuk let go kedua2 sekali coz kitten2 nie tak pernah berpisah. Sesiapa yang berminat, boleh hubungi saya di talian 3 .",0.13617505237095495,-0.019808984760864057,0.26809209828158376,0.026292453058137037,0.15655280850283784,-0.05721776782221132,-0.048221884734950836,0.5242216079681897,0.025995852788496542,-0.08955225294742583,51
1,Precious,36,76,307,2,7,0,0,2,1,2,2,2,1,1,0,41324,6f73a23fdb52bc9a30dc788fe6ccc7f6,0,"Hi, i have a dalmamation mix female dog to give away..very gentle by nature & its very pretty & cute... currently have to give away because to no space for freedom...she is good with kids & a good watch dog as well... no fees will be impose wen taking d dog but there is a few condition that must be made... 1) THE DOG MUST BE SPAYED, DEWORMED & VACINNATED BY NEW OWNER WEN ITS ADOPTED BY OWNER 2)THE NEW DOG OWNER WILL BE SCREEN FIRST TO ENSURE THEY R REALLY SERIOUS DOG LOVER 3)NEW OWNER PREMISES MUST HAVE AMPLE SPACE FOR D DOG TO RUN AROUND... the location of d dog is in malacca...owner can be anywhere else but d dog must be spayed in malacca 1st before bringing outstation...owner in malacca is more preferred...kindly contact me via email or sms if u r interested...thanks!",a3787f15e,9.0,"Hi, i have a dalmamation mix female dog to give away..very gentle by nature & its very pretty & cute... currently have to give away because to no space for freedom...she is good with kids & a good watch dog as well... no fees will be impose wen taking d dog but there is a few condition that must be made... 1) THE DOG MUST BE SPAYED, DEWORMED & VACINNATED BY NEW OWNER WEN ITS ADOPTED BY OWNER 2)THE NEW DOG OWNER WILL BE SCREEN FIRST TO ENSURE THEY R REALLY SERIOUS DOG LOVER 3)NEW OWNER PREMISES MUST HAVE AMPLE SPACE FOR D DOG TO RUN AROUND... the location of d dog is in malacca...owner can be anywhere else but d dog must be spayed in malacca 1st before bringing outstation...owner in malacca is more preferred...kindly contact me via email or sms if u r interested...thanks!",0.3819309210904039,0.05481760702623167,-0.3470787723633036,-0.3955479226227583,0.0029096343005444864,0.255645173155352,-0.047612434097247226,0.15479429959021837,0.1398838427190632,-0.05841510368142435,146
